date,fuel_type,variable_group,variable_name,unit,value,__rowNumber,value_original,unit_original,rate_currency,value_per_liter_equivalent,value_per_KL_equivalent,value_per_cylinder_equivalent,standardization_status,standardization_note
2026-04-03,Diesel,tax,infrastructure_development_tax,NRs_per_KL,10000,45,10000,NRs_per_KL,NRs,10,10000,,converted_from_per_KL,
2026-04-03,Kerosene,tax,infrastructure_development_tax,NRs_per_KL,0,46,0,NRs_per_KL,NRs,0,0,,converted_from_per_KL,
2026-04-03,ATF_DP,tax,infrastructure_development_tax,NRs_per_KL,0,47,0,NRs_per_KL,NRs,0,0,,converted_from_per_KL,
2026-04-03,ATF_DF,tax,infrastructure_development_tax,NRs_per_KL,0,48,0,NRs_per_KL,NRs,0,0,,converted_from_per_KL,
2026-04-03,LP_Gas,tax,infrastructure_development_tax,NRs_per_cylinder,0,49,0,NRs_per_cylinder,NRs,,,0,kept_per_cylinder,
2026-04-03,Petrol,tax,vat_13pct,NRs_per_KL,23238.94,50,23238.94,NRs_per_KL,NRs,23.23894,23238.94,,converted_from_per_KL,
2026-04-03,Diesel,tax,vat_13pct,NRs_per_KL,20938.05,51,20938.05,NRs_per_KL,NRs,20.93805,20938.05,,converted_from_per_KL,
2026-04-03,Kerosene,tax,vat_13pct,NRs_per_KL,20938.05,52,20938.05,NRs_per_KL,NRs,20.93805,20938.05,,converted_from_per_KL,
2026-04-03,ATF_DP,tax,vat_13pct,NRs_per_KL,28876.11,53,28876.11,NRs_per_KL,NRs,28.87611,28876.11,,converted_from_per_KL,
2026-04-03,ATF_DF,tax,vat_13pct,NRs_per_KL,35141.65,54,35141.65,NRs_per_KL,NRs,35.14165,35141.65,,converted_from_per_KL,
2026-04-03,LP_Gas,tax,vat_13pct,NRs_per_cylinder,213.85,55,213.85,NRs_per_cylinder,NRs,,,213.85,kept_per_cylinder,
2026-04-03,Petrol,tax,fuel_throughput_charge,NRs_per_KL,0,56,0,NRs_per_KL,NRs,0,0,,converted_from_per_KL,
2026-04-03,Diesel,tax,fuel_throughput_charge,NRs_per_KL,0,57,0,NRs_per_KL,NRs,0,0,,converted_from_per_KL,
2026-04-03,Kerosene,tax,fuel_throughput_charge,NRs_per_KL,0,58,0,NRs_per_KL,NRs,0,0,,converted_from_per_KL,
2026-04-03,ATF_DP,tax,fuel_throughput_charge,NRs_per_KL,888.5,59,888.5,NRs_per_KL,NRs,0.8885,888.5,,converted_from_per_KL,
2026-04-03,ATF_DF,tax,fuel_throughput_charge,NRs_per_KL,1081.28,60,1081.28,NRs_per_KL,NRs,1.08128,1081.28,,converted_from_per_KL,
2026-04-03,LP_Gas,tax,fuel_throughput_charge,NRs_per_cylinder,0,61,0,NRs_per_cylinder,NRs,,,0,kept_per_cylinder,
2026-04-03,Petrol,tax,total_government_tax,NRs_per_KL,66983.94,62,66983.94,NRs_per_KL,NRs,66.98394,66983.94,,converted_from_per_KL,
2026-04-03,Diesel,tax,total_government_tax,NRs_per_KL,49283.05,63,49283.05,NRs_per_KL,NRs,49.28305,49283.05,,converted_from_per_KL,
2026-04-03,Kerosene,tax,total_government_tax,NRs_per_KL,34783.05,64,34783.05,NRs_per_KL,NRs,34.78305,34783.05,,converted_from_per_KL,
2026-04-03,ATF_DP,tax,total_government_tax,NRs_per_KL,34399.6,65,34399.6,NRs_per_KL,NRs,34.3996,34399.6,,converted_from_per_KL,
