date,ioc_price_effective_date,fuel_type,depot,category,variable_name,display_name,value,unit
2026-04-03,2026-04-01,Kerosene,Barauni,tax,custom_service_charge,"Custom Service Charge",0.025,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,tax,custom_service_charge,"Custom Service Charge",0.025,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,tax,custom_service_charge,"Custom Service Charge",0.025,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,tax,custom_service_charge,"Custom Service Charge",0.39,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,tax,road_maintenance_charge,"Road Maintenance Charge",4,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,tax,road_maintenance_charge,"Road Maintenance Charge",2,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,tax,road_maintenance_charge,"Road Maintenance Charge",0,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,tax,road_maintenance_charge,"Road Maintenance Charge",0,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,tax,road_maintenance_charge,"Road Maintenance Charge",0,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,tax,road_maintenance_charge,"Road Maintenance Charge",0,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,tax,pollution_charge,"Pollution Charge",1.5,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,tax,pollution_charge,"Pollution Charge",1.5,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,tax,pollution_charge,"Pollution Charge",0,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,tax,pollution_charge,"Pollution Charge",0,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,tax,pollution_charge,"Pollution Charge",0,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,tax,pollution_charge,"Pollution Charge",0,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,tax,green_tax,"Green Tax",1,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,tax,green_tax,"Green Tax",1,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,tax,green_tax,"Green Tax",0,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,tax,green_tax,"Green Tax",0,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,tax,green_tax,"Green Tax",0,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,tax,green_tax,"Green Tax",0,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,tax,psf_transfer,"PSF Transfer",2.02,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,tax,psf_transfer,"PSF Transfer",1.82,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,tax,psf_transfer,"PSF Transfer",1.82,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,tax,psf_transfer,"PSF Transfer",2.51,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,tax,psf_transfer,"PSF Transfer",2.7032,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,tax,psf_transfer,"PSF Transfer",19.1,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,tax,infrastructure_development_tax,"Infrastructure Development Tax",10,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,tax,infrastructure_development_tax,"Infrastructure Development Tax",10,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,tax,infrastructure_development_tax,"Infrastructure Development Tax",0,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,tax,infrastructure_development_tax,"Infrastructure Development Tax",0,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,tax,infrastructure_development_tax,"Infrastructure Development Tax",0,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,tax,infrastructure_development_tax,"Infrastructure Development Tax",0,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,tax,vat_13pct,"VAT (13%)",23.2389,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,tax,vat_13pct,"VAT (13%)",20.9381,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,tax,vat_13pct,"VAT (13%)",20.9381,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,tax,vat_13pct,"VAT (13%)",28.8761,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,tax,vat_13pct,"VAT (13%)",35.1416,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,tax,vat_13pct,"VAT (13%)",213.85,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,tax,fuel_throughput_charge,"Fuel Through-put Charge",0,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,tax,fuel_throughput_charge,"Fuel Through-put Charge",0,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,tax,fuel_throughput_charge,"Fuel Through-put Charge",0,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,tax,fuel_throughput_charge,"Fuel Through-put Charge",0.8885,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,tax,fuel_throughput_charge,"Fuel Through-put Charge",1.0813,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,tax,fuel_throughput_charge,"Fuel Through-put Charge",0,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,tax,total_government_tax,"Total Government Tax",66.9839,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,tax,total_government_tax,"Total Government Tax",49.2831,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,tax,total_government_tax,"Total Government Tax",34.7831,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,tax,total_government_tax,"Total Government Tax",34.3996,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,tax,total_government_tax,"Total Government Tax",41.0511,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,tax,total_government_tax,"Total Government Tax",324.95,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,noc_expense,administration_cost,"Administration Cost",0.608,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,noc_expense,administration_cost,"Administration Cost",0.608,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,noc_expense,administration_cost,"Administration Cost",0.608,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,noc_expense,administration_cost,"Administration Cost",0.608,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,noc_expense,administration_cost,"Administration Cost",0.608,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,noc_expense,administration_cost,"Administration Cost",8.63,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,noc_expense,insurance_premium,"Insurance Premium",0.0923,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,noc_expense,insurance_premium,"Insurance Premium",0.1455,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,noc_expense,insurance_premium,"Insurance Premium",0.1187,NRs_per_liter
