date,fuel_type,variable_group,variable_name,unit,value
2026-04-03,ATF_DF,cost,ex_depot_price_increase_nrs_per_liter,NRs_per_liter,123.8
2026-04-03,LP_Gas,cost,ex_depot_price_increase_nrs_per_liter,NRs_per_cylinder,190.36
2026-04-03,Petrol,cost,ex_depot_price_new_irs,IRs_per_KL,96024.41
2026-04-03,Diesel,cost,ex_depot_price_new_irs,IRs_per_KL,151412.27
2026-04-03,Kerosene,cost,ex_depot_price_new_irs,IRs_per_KL,123573.65
2026-04-03,ATF_DP,cost,ex_depot_price_new_irs,IRs_per_KL,133311.58
2026-04-03,ATF_DF,cost,ex_depot_price_new_irs,IRs_per_KL,133311.58
2026-04-03,LP_Gas,cost,ex_depot_price_new_irs,IRs_per_cylinder,1055.27
2026-04-03,Petrol,cost,ex_depot_price_nrs,NRs_per_KL,153783.09
2026-04-03,Diesel,cost,ex_depot_price_nrs,NRs_per_KL,242486.76
2026-04-03,Kerosene,cost,ex_depot_price_nrs,NRs_per_KL,197903.21
2026-04-03,ATF_DP,cost,ex_depot_price_nrs,NRs_per_KL,213498.5
2026-04-03,ATF_DF,cost,ex_depot_price_nrs,NRs_per_KL,213498.5
2026-04-03,LP_Gas,cost,ex_depot_price_nrs,NRs_per_cylinder,1690.01
2026-04-03,Petrol,cost,administration_cost,NRs_per_KL,608.02
2026-04-03,Diesel,cost,administration_cost,NRs_per_KL,608.02
2026-04-03,Kerosene,cost,administration_cost,NRs_per_KL,608.02
2026-04-03,ATF_DP,cost,administration_cost,NRs_per_KL,608.02
2026-04-03,ATF_DF,cost,administration_cost,NRs_per_KL,608.02
2026-04-03,LP_Gas,cost,administration_cost,NRs_per_cylinder,8.63
2026-04-03,Petrol,cost,insurance_premium,NRs_per_KL,92.27
2026-04-03,Diesel,cost,insurance_premium,NRs_per_KL,145.5
2026-04-03,Kerosene,cost,insurance_premium,NRs_per_KL,118.74
2026-04-03,ATF_DP,cost,insurance_premium,NRs_per_KL,128.1
2026-04-03,ATF_DF,cost,insurance_premium,NRs_per_KL,128.1
2026-04-03,LP_Gas,cost,insurance_premium,NRs_per_cylinder,1.77
2026-04-03,Petrol,cost,technical_loss,NRs_per_KL,1722.44
2026-04-03,Diesel,cost,technical_loss,NRs_per_KL,1621.22
2026-04-03,Kerosene,cost,technical_loss,NRs_per_KL,1347.44
2026-04-03,ATF_DP,cost,technical_loss,NRs_per_KL,1383.15
2026-04-03,ATF_DF,cost,technical_loss,NRs_per_KL,1383.15
2026-04-03,LP_Gas,cost,technical_loss,NRs_per_cylinder,0
2026-04-03,Petrol,cost,total_noc_expenses,NRs_per_KL,2422.73
2026-04-03,Diesel,cost,total_noc_expenses,NRs_per_KL,2374.73
2026-04-03,Kerosene,cost,total_noc_expenses,NRs_per_KL,2074.2
2026-04-03,ATF_DP,cost,total_noc_expenses,NRs_per_KL,2119.27
2026-04-03,ATF_DF,cost,total_noc_expenses,NRs_per_KL,2119.27
